Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
1	CG001	A noi tuo popolo - Attende Domine	Gregoriano					M: Gregoriano    - RN78	RN	Tradizionale	Inno	LIT	QUA		RN78	RN78						20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
2	CG002	A te nostro Padre	A. Vitalini	R. Lavagna				"M: A. Vitalini, T: R. Lavagna   -  "	Altri	Tradizionale		LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
3	CG003	Apri le tue braccia	D. Machetta					M: D. Machetta    - RN256	RN			LIT	ORD		RN256	RN256	CDP								;;	Assemblea
4	CG004	Accogli i nostri doni	Gen Verde		E' bello lodarti	1999	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (1999)-  "	Gen			LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
5	CG005	Accoglimi	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	"ORD,QUA"	"INGR,OFF"	 										;;	Assemblea
6	CG006	Acqua siamo noi	G. Cento					M: G. Cento    -  	Cento			RIP	RIP		 										;;	Assemblea
7	CG007	Adoriamo Gesù Cristo	Tradizionale	F. Rainoldi			LDC	"M: Tradizionale, T: F. Rainoldi  ed. LDC - RN123"	RN	Tradizionale		LIT	EUC		RN123	RN123	CDP								;;	Assemblea
8	CG008	Alleluia - E' risorto	Gen					M: Gen    -  	Gen			LIT	PAS		 										;;	Assemblea
9	CG009	Alleluia - Passeranno i cieli	S. Varnavà	A. Costa		1969		"M: S. Varnavà, T: A. Costa   (1969)- RN13"	RN	Liturgico - Polifonico		LIT	OM		RN13	RN13	CDP	RCB066				05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
10	CG010	Alleluia - Beati coloro						     -  				LIT	OM		 										;;	Assemblea
11	CG011	Alleluia - E poi	G. Monti					M: G. Monti    -  	Altri			LIT	OM		 										;;	Assemblea
12	CG012	Alleluia - Gloria al Signor						     -  				RIP	OM		 										;;	Assemblea
13	CG013	Alleluia - Cantate al Signore (RN)	"F. O'Carroll, C. Walker"				LDC	"M: F. O'Carroll, C. Walker   ed. LDC - RN12"	RN			LIT	OM		RN12	RN12									;;	Assemblea
14	CG014	Alleluia - Ed oggi ancora	P. Sequeri					M: P. Sequeri    -  	Sequeri	Liturgico - Moderno		LIT	OM		 			RCB033				05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
15	CG015	Alleluia - E' lui per noi						     -  				LIT	OM		 										;;	Assemblea
16	CG016	Alleluia - Venite a me						     -  				LIT	OM		 										;;	Assemblea
17	CG017	Alleluia - Canto per Cristo	Taizè					M: Taizè    - CDP446	Taizè			LIT	OM		CDP446		CDP446								;;	Assemblea
18	CG018	Alleluia a colui che resuscitò	RNS		Sempre canterò			"M: RNS , 'Sempre canterò'   -  "	RNS			LIT	PAS		 										;;	Assemblea
19	CG019	Alleluia - Signore sei venuto	Scaglianti					M: Scaglianti    -  	Altri			LIT	OM		 										;;	Assemblea
20	CG020	Alleluia - Cantate al Signore (Gen)	Gen Rosso		Dove tu sei	1982	Città Nuova	"M: Gen Rosso , 'Dove tu sei'  ed. Città Nuova (1982)-  "	Gen			LIT	OM		 										;;	Assemblea
21	CG021	"Alleluia, Cristo è Risorto veramente"	F. Buttazzo		Esulta il cielo			"M: F. Buttazzo , 'Esulta il cielo'   -  "	Buttazzo			LIT	PAS		 				2014						;;	Assemblea
22	CG022	"Alleluia, oggi è nato"	F. Buttazzo		Gloria all'Emmanuele			"M: F. Buttazzo , 'Gloria all'Emmanuele'   -  "	Buttazzo			LIT	NAT		 				2013						;;	Assemblea
23	CG023	Alleluia - Rendete grazie	Gen Verde		Il mistero pasquale	2011	Città Nuova	"M: Gen Verde , 'Il mistero pasquale'  ed. Città Nuova (2011)-  "	Gen	Liturgico - Moderno		LIT	PAS		 			RCB105	2013			05 - Alleluia	21 - Tempi: Pasqua		05 - Alleluia;21 - Tempi: Pasqua;	Coro e Assemblea
24	CG024	Amatevi fratelli	D. Machetta					M: D. Machetta    - RN255	RN			LIT	ORD		RN255	RN255	CDP								;;	Assemblea
25	CG025	Andate per le strade	Capello	Roncari		1978		"M: Capello, T: Roncari   (1978)- CDP613"	CDP		Canzone	LIT	ORD		CDP613		CDP613								;;	Assemblea
26	CG026	Ave Maria (Gen Verde)	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen	Liturgico - Moderno		LIT	MAR		 			RCB050				22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
27	CG027	Ave Maria (Balduzzi)	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati -  "	Gen	Liturgico - Moderno		LIT	MAR		 			RCB060	2006			22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
28	CG028	Ave Maria (Sequeri)	P. Sequeri					M: P. Sequeri    - CDP	Sequeri			LIT	MAR		CDP		CDP					22 - Temi: Maria			22 - Temi: Maria;;	Assemblea
29	CG029	Antica eterna danza	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)-  "	Gen	Liturgico - Moderno		LIT	ORD	OFF	 			RCB106				08 - Offertorio			08 - Offertorio;;	Coro e Assemblea
30	CG030	Bambino mite e debole	Ph. Nicolai					M: Ph. Nicolai    - RN66	RN	Tradizionale		LIT	NAT		RN66	RN66		RCB013				19 - Tempi: Natale			19 - Tempi: Natale;;	Coro
31	CG031	Benedetto sei tu	Gen verde		Gen Verde	1981	Città Nuova	"M: Gen verde , 'Gen Verde'  ed. Città Nuova (1981)-  "	Gen		Canzone	LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
32	CG032	Beato l'uomo	V. Casadei					M: V. Casadei    -  	Altri			LIT	ORD		 										;;	Assemblea
33	CG033	Beati quelli	P. Sequeri			1974		M: P. Sequeri    (1974)-  	Sequeri			LIT	ORD		 										;;	Assemblea
34	CG034	Benedici	P. Spoladore					M: P. Spoladore    -  	Altri	Liturgico - Moderno		LIT	ORD	OFF	 			RCB047	2006			14 - Temi: Matrimonio			14 - Temi: Matrimonio;;	Assemblea
35	CG035	Benedici o Signore	Gen Rosso		Se siamo uniti	1987	Città Nuova	"M: Gen Rosso , 'Se siamo uniti'  ed. Città Nuova (1987)-  "	Gen	Liturgico - Moderno		LIT	ORD	OFF	 			RCB035				08 - Offertorio			08 - Offertorio;;	Coro e Assemblea
36	CG036	Cantate al Signore	D. Ricci		E' Natale ancora	2007	Paoline	"M: D. Ricci , 'E' Natale ancora'  ed. Paoline (2007)-  "	Altri			LIT	NAT		 							19 - Tempi: Natale			19 - Tempi: Natale;;	Assemblea
37	CG037	Camminerò	A. Marani		Cantinfesta	1998	LDC	"M: A. Marani , 'Cantinfesta'  ed. LDC (1998)-  "	Marani		Canzone	LIT	ORD		 							13 - Fine			13 - Fine;;	Assemblea
38	CG038	Canti di Taizè	Taizè					M: Taizè    -  	Taizè			LIT	ORD		 										;;	Assemblea
39	CG039	Cantico dei redenti	A. Marani		E danzando canteranno			"M: A. Marani , 'E danzando canteranno'   -  "	Marani			LIT	"ORD,ESE"	ING	 										;;	Assemblea
40	CG040	Canto dei tre giovani	RNS					M: RNS    -  	RNS		Canzone	LIT	ORD	LODE	 										;;	Coro e Assemblea
41	CG041	Cent'anni - Dimmi Luigi come si fa	"F. Mari, M. Ciciriello"	M. Cagiola				"M: F. Mari, M. Ciciriello, T: M. Cagiola   -  "	M2G		Canzone	LIT	SAN	GUANELLA	 			RCB093	2009			24 - Temi: Guanelliano			24 - Temi: Guanelliano;;	Coro e Assemblea
42	CG042	Chi	Gen Rosso		-			"M: Gen Rosso , '-'   -  "	Gen	Liturgico - Moderno	Canzone	LIT	MAT		 			RCB032				13 - Fine			13 - Fine;;	Coro
43	CG043	Chiara tu puoi	F. Lorenzetti					M: F. Lorenzetti    -  	M2G			LIT	SAN	GUANELLA	 							24 - Temi: Guanelliano			24 - Temi: Guanelliano;;	Assemblea
44	CG044	Cantiamo con gioia	RNS					M: RNS    -  	RNS			RIP	RIP		 										;;	Assemblea
45	CG045	Come Maria	Gen Verde		-			"M: Gen Verde , '-'   -  "	Gen	Liturgico - Moderno		LIT	MAR		 			RCB026				22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
46	CG046	Come l'aurora verrai	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)-  "	Gen			LIT	AVV		 				2013			18 - Tempi: Avvento			18 - Tempi: Avvento;;	Assemblea
47	CG047	Cerco la tua voce	Gen Rosso					M: Gen Rosso    -  	Gen			RIP	RIP		 										;;	Assemblea
48	CG048	Chiesa di Dio	Chr. Villeneuve	E. Costa			LDC	"M: Chr. Villeneuve, T: E. Costa  ed. LDC - RN267"	RN			LIT	ORD		RN267	RN267	CDP								;;	Coro e Assemblea
49	CG049	Cieli e terra nuova	M. Piatti	M. Piatti			LDC	"M: M. Piatti, T: M. Piatti  ed. LDC - RN269"	RN			LIT	"ORD,ESE"		RN269	RN269	CDP					17 - Temi: Esequie			17 - Temi: Esequie;;	Coro e Assemblea
50	CG050	Com'è bello	L. Mazza	L. Mazza		1978	Esperienza	"M: L. Mazza, T: L. Mazza  ed. Esperienza (1978)- CDP626"	CDP			LIT	ORD	ING	CDP626		CDP626								;;	Assemblea
51	CG051	Come fuoco vivo	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen	Liturgico - Moderno		LIT	PAS		 			RCB076				21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Coro
52	CG052	Con te faremo cose grandi	G. Meregalli					M: G. Meregalli    -  	Meregalli			RIP	RIP		 										;;	Assemblea
53	CG053	Cosa offrirti	L. Ciancia			2005	RNS	M: L. Ciancia   ed. RNS (2005)- RN272	RN	Liturgico - Moderno	Canzone	LIT	ORD	OFF	RN272	RN272						08 - Offertorio			08 - Offertorio;;	Assemblea
54	CG054	Credo in Te Signore	M. Frisina		Non temere			"M: M. Frisina , 'Non temere'   -  "	Frisina	Liturgico - Polifonico		LIT	ORD		 			RCB063				06 - Credo	13 - Fine		06 - Credo;13 - Fine;	Coro
55	CG055	Cristo è Risorto veramente	RNS		Risorto per amore	2001	RNS	"M: RNS , 'Risorto per amore'  ed. RNS (2001)-  "	RNS	Liturgico - Moderno		LIT	PAS	"ING,COM,FIN"	 			RCB101				21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Coro e Assemblea
56	CG056	Cristo Gesù Salvatore	Tradizionale	E. Costa			LDC	"M: Tradizionale, T: E. Costa  ed. LDC - RN273"	RN		Inno	LIT	"ORD,QUA"	"ING,COM"	RN273	RN273	CDP								;;	Assemblea
57	CG057	Cristo risusciti	Popolare tedesca	S. Albisetti			Carrara	"M: Popolare tedesca, T: S. Albisetti  ed. Carrara - RN171"	RN			LIT	PAS		RN171	RN171	CDP					21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Assemblea
58	CG058	"Cristo è risorto, Alleluia"	Haendel					M: Haendel    - RN172	RN			LIT	PAS	"ING,COM,FIN"	RN172	RN172									;;	Assemblea
59	CG059	Cristo risorge	P. Damilano	A. Gazzera		1959	AISC 	"M: P. Damilano, T: A. Gazzera  ed. AISC  (1959)- CDP546"	CDP			LIT	PAS		CDP546		CDP546					21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Assemblea
60	CG060	"Cristo Signore, gloria e lode a Te"	F. Rainoldi	F. Rainoldi			LDC	"M: F. Rainoldi, T: F. Rainoldi  ed. LDC - RN15"	RN		Acclamazione	LIT	OM		RN15	RN15									;;	Assemblea
61	CG061	Cristo splendore del Padre	Taizè					M: Taizè    - RN175	RN			LIT	PAS		RN175	RN175									;;	Assemblea
62	CG062	Dall'aurora al tramonto	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati -  "	Gen	Liturgico - Moderno		LIT	"ORD,QUA"	ING	 			RCB061	2007			01 - Ingresso	13 - Fine	04 - Salmo	01 - Ingresso;13 - Fine;04 - Salmo	Coro e Assemblea
63	CG063	Dacci il tuo pane	P. Fanelli					M: P. Fanelli    -  	Altri			LIT	ORD	COM	 							12 - Comunione			12 - Comunione;;	Assemblea
64	CG064	Dio ci sei	J.M. Arija		-			"M: J.M. Arija , '-'   -  "	M2G	Religioso		RIP	RIP		 			RCB092				12 - Comunione			12 - Comunione;;	Coro e Assemblea
65	CG065	Dio s'è fatto come noi	M. Giombini	G. Stefani		1969		"M: M. Giombini, T: G. Stefani   (1969)- CDP"				LIT	NAT	"ING, COM"	CDP		CDP					19 - Tempi: Natale			19 - Tempi: Natale;;	Assemblea
66	CG066	Dio ha fatto in me cose grandi (Magnificat)	Casini/Ciardella					M: Casini/Ciardella    -  	Altri			LIT	MAR		 							22 - Temi: Maria			22 - Temi: Maria;;	Coro
67	CG067	Dio Carità	M. Frisina					M: M. Frisina    -  	Frisina			LIT	ORD		 							24 - Temi: Guanelliano			24 - Temi: Guanelliano;;	Coro
68	CG068	Don Guanella sei in Gesù	G. Cento					M: G. Cento    -  	M2G			LIT	SAN	GUANELLA	 										;;	Coro e Assemblea
69	CG069	Dolce padre nostro santo	O. Saginario					M: O. Saginario    -  	M2G			LIT	SAN	GUANELLA	 							24 - Temi: Guanelliano			24 - Temi: Guanelliano;;	Coro e Assemblea
70	CG070	Dove due o tre	Castiglia					M: Castiglia    -  	Altri			LIT	ORD		 										;;	Assemblea
71	CG071	Dov'è carità e amore	T. Zardini				LDC	M: T. Zardini   ed. LDC - RN124	RN			LIT	ORD	"ING, COM, OFF"	RN124	RN124	CDP								;;	Assemblea
72	CG072	Dove troveremo tutto il pane	Pianori					M: Pianori    -  	Altri		Canzone	RIP	RIP		 										;;	Assemblea
73	CG073	Del tuo Spirito Signore	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen	Liturgico - Moderno		LIT	ORD	"ING,SAL"	 			RCB008				15 - Temi: Spirito Santo	01 - Ingresso	04 - Salmo	15 - Temi: Spirito Santo;01 - Ingresso;04 - Salmo	Coro e Assemblea
74	CG074	E continua a chiamarlo padre	F. Lorenzetti					M: F. Lorenzetti    -  	M2G			RIP	RIP		 										;;	Assemblea
75	CG075	E sono solo un uomo	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	"ORD,QUA"		 										;;	Assemblea
76	CG076	E' bello	Gen Rosso		Noi veniamo a te	1972	Città Nuova	"M: Gen Rosso , 'Noi veniamo a te'  ed. Città Nuova (1972)-  "	Gen		Canzone	RIP	RIP		 										;;	Assemblea
77	CG077	E' bello lodarti	Gen Verde		E' bello lodarti	1997	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (1997)-  "	Gen			LIT	ORD	ING	 										;;	Assemblea
78	CG078	E' l'ora che pia	Tradizionale	G. Agamennone		1985	LDC	"M: Tradizionale, T: G. Agamennone  ed. LDC (1985)- CDP578"	CDP			LIT	MAR		CDP578		CDP578					22 - Temi: Maria			22 - Temi: Maria;;	Assemblea
79	CG079	E' nato il Salvatore	Repertorio di Spira	G. Stefani		1968	LDC	"M: Repertorio di Spira, T: G. Stefani  ed. LDC (1968)- CDP471"	CDP			LIT	NAT		CDP471		CDP471								;;	Assemblea
80	CG080	Ecco l'acqua	A. Parisi		O notte gloriosa	1995	Paoline	"M: A. Parisi , 'O notte gloriosa'  ed. Paoline (1995)-  "	Parisi	Liturgico - Polifonico		LIT	"ORD,BAT"	ASP	 			RCB087	2008			16 - Temi: Battesimo			16 - Temi: Battesimo;;	Coro e Assemblea
81	CG081	E' risorto	Gen Verde		Il mistero pasquale	2011	Città Nuova	"M: Gen Verde , 'Il mistero pasquale'  ed. Città Nuova (2011)-  "	Gen			LIT	PAS		 			RCB107	2013			21 - Tempi: Pasqua			21 - Tempi: Pasqua;;	Coro
82	CG082	Emmanuel - Inno GMG 2000	"Brusati, Labellarte, Mammoli, Versaci"			2000		"M: Brusati, Labellarte, Mammoli, Versaci    (2000)-  "	Altri			RIP	RIP		 										;;	Assemblea
83	CG083	Ecco l'uomo	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	QUA		 										;;	Assemblea
84	CG084	Ecco quel che abbiamo	Gen Verde					M: Gen Verde    -  	Gen			LIT	ORD	OFF	 										;;	Assemblea
85	CG085	Filo del tuo arazzo	G. Gottardi		Giovani in festa			"M: G. Gottardi , 'Giovani in festa'   -  "	Altri			RIP	RIP		 										;;	Assemblea
86	CG086	Eres un padre de verdad	A. Martinez					M: A. Martinez    -  	M2G			RIP	RIP		 										;;	Assemblea
87	CG087	Dolce è sentire (Fratello sole Sorella luna)	R. Ortolani		-	1972	RCA	"M: R. Ortolani , '-'  ed. RCA (1972)-  "	Altri	Liturgico - Moderno		RIP	RIP		 			RCB079				12 - Comunione			12 - Comunione;;	Coro
88	CG088	Frutto della nostra terra	F. Buttazzo		Sorgente di unità			"M: F. Buttazzo , 'Sorgente di unità'   -  "	Buttazzo			LIT	ORD	OFF	 										;;	Coro e Assemblea
89	CG089	Gioisci regina del cielo	D. Semprini	A.M. Galliano				"M: D. Semprini, T: A.M. Galliano   -  "				LIT	PAS		 										;;	Coro e Assemblea
90	CG090	Giovane donna	L. Bancolini	L. Scaglianti	Andiamo a Betlemme	1976	LDC	"M: L. Bancolini, T: L. Scaglianti, 'Andiamo a Betlemme'  ed. LDC (1976)- CDP"	CDP			LIT	MAR		CDP		CDP								;;	Assemblea
91	CG091	Gloria	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)-  "	Gen	Liturgico - Moderno		LIT	OM		 			RCB003				03 - Gloria			03 - Gloria;;	Coro
92	CG092	Gloria a te Cristo Gesù	J.P. Lecot	CEI-ULN	Inno Giubileo 2000			"M: J.P. Lecot, T: CEI-ULN, 'Inno Giubileo 2000'   -  "				LIT	ORD		 										;;	Coro
93	CG093	Gloria a Dio nell'alto dei cieli	L. Mariano		Venite a me	1992	Paoline	"M: L. Mariano , 'Venite a me'  ed. Paoline (1992)-  "	Altri			LIT	OM		 			RCB048							;;	Coro e Assemblea
94	CG094	Hai dato un cibo	Ignoto	E. Moneta Caglio		1972	LDC	"M: Ignoto, T: E. Moneta Caglio  ed. LDC (1972)- CDP658"	CDP			LIT	ORD	OFF	CDP658		CDP658								;;	Assemblea
95	CG095	Gloria in excelsis Deo	Gregoriano	Liturgia	"Missa VIII ""de Angelis"""			"M: Gregoriano, T: Liturgia, 'Missa VIII ""de Angelis""'   - RN7"	RN			LIT	OM		RN7	RN7	CDP								;;	Coro e Assemblea
96	CG096	Grandi cose	Gen Rosso		Se siamo uniti	1988	Città Nuova	"M: Gen Rosso , 'Se siamo uniti'  ed. Città Nuova (1988)-  "	Gen			LIT	ORD	ING	 										;;	Coro e Assemblea
97	CG097	Gustate e vedete	M. Frisina		Pane di vita nuova	2002	Paoline	"M: M. Frisina , 'Pane di vita nuova'  ed. Paoline (2002)-  "	Frisina	Liturgico - Polifonico		LIT	ORD	"ING,OFF,COM"	 			RCB023				01 - Ingresso	08 - Offertorio	12 - Comunione	01 - Ingresso;08 - Offertorio;12 - Comunione	Coro
98	CG098	Hopes of peace	Gen Rosso					M: Gen Rosso    -  	Gen			RIP	RIP		 										;;	Coro
99	CG099	I cieli narrano	M. Frisina		-			"M: M. Frisina , '-'   -  "	Frisina	Liturgico - Polifonico		LIT	PAS		 			RCB100				04 - Salmo	01 - Ingresso	19 - Tempi: Natale	04 - Salmo;01 - Ingresso;19 - Tempi: Natale	Coro
100	CG100	Il canto dell'amicizia	Scout					M: Scout    -  	Altri		Canzone	RIP	RIP		 										;;	Assemblea
101	CG101	Il canto della creazione	G. Cento		Guarda laggiù l'orizzonte	1980	Paoline	"M: G. Cento , 'Guarda laggiù l'orizzonte'  ed. Paoline (1980)-  "	Cento			LIT	ORD		 										;;	Coro e Assemblea
102	CG102	Il disegno	A. Marani		Un amore a piene mani		Rugginenti	"M: A. Marani , 'Un amore a piene mani'  ed. Rugginenti -  "	Marani		Canzone	RIP	RIP		 										;;	Assemblea
103	CG103	Il mio pastore	F. Baggio		Dall'amore di Dio	2010	Paoline	"M: F. Baggio , 'Dall'amore di Dio'  ed. Paoline (2010)-  "	Altri			RIP	RIP		 										;;	Assemblea
104	CG104	Il tuo popolo in cammino	P. Sequeri	F. Motta			Rugginenti	"M: P. Sequeri, T: F. Motta  ed. Rugginenti - RN358"	RN			LIT	EUC		RN358	RN358	CDP								;;	Assemblea
105	CG105	Il seme del tuo campo	Gen Verde		Messa della Concordia	2007	Città Nuova	"M: Gen Verde , 'Messa della Concordia'  ed. Città Nuova (2007)-  "	Gen			LIT	ORD	OFF	 										;;	Assemblea
106	CG106	Il Signore è la luce	M. Giombini	M. Giombini		1969		"M: M. Giombini, T: M. Giombini   (1969)- CDP278"	CDP			LIT	ORD		CDP278		CDP278								;;	Assemblea
107	CG107	Innanzi a Te	S. Visconti	"Visconti, Binotto"	-	2007		"M: S. Visconti, T: Visconti, Binotto, '-'   (2007)-  "	Altri	Liturgico - Polifonico	Canzone	LIT	MAR		 			RCB064	2007			22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
108	CG108	Immacolata	Tradizionale					M: Tradizionale    -  	Tradiz			LIT	MAR		 										;;	Assemblea
109	CG109	Inno a S.Giuseppe	Ignoto		-			"M: Ignoto , '-'   -  "	Tradiz	Tradizionale		LIT	SAN	SGIUSEPPE	 			RCB094				25 - Temi: S.Giuseppe			25 - Temi: S.Giuseppe;;	Coro e Assemblea
110	CG110	Io ti do la pace	S. Varnavà	A. Costa - S. Varnavà	E se anche non ci conosciamo…	1974		"M: S. Varnavà, T: A. Costa - S. Varnavà, 'E se anche non ci conosciamo…'   (1974)-  "	Altri			RIP	RIP		 										;;	Assemblea
111	CG111	Il Signore è il mio pastore (Turoldo)	I. Passoni	D.M.Turoldo				"M: I. Passoni, T: D.M.Turoldo   - CDP661"	CDP			LIT	ORD		CDP661		CDP661								;;	Assemblea
112	CG112	Io vedo la tua luce	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	AVV		 							18 - Tempi: Avvento			18 - Tempi: Avvento;;	Coro e Assemblea
113	CG113	La nostra offerta						     -  				LIT	ORD	OFF	 										;;	Assemblea
114	CG114	Jesus christ you are my life - Alleluia	M. Frisina					M: M. Frisina    -  	Frisina			LIT	OM		 										;;	Coro
115	CG115	L'acqua viva	M. Frisina					M: M. Frisina    -  	Frisina			LIT	ORD	ASP	 										;;	Coro
