Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
164	CG164	Questo è il giorno fatto dal Signore	M. Colucci		Mi affido a te	2007	RNS	"M: M. Colucci , 'Mi affido a te'  ed. RNS (2007)-  "	RNS		Canzone	LIT	PAS		 										;;	Assemblea
165	CG165	Quando busserò	M. Giombini	M. Giombini		1969	LDC	"M: M. Giombini, T: M. Giombini  ed. LDC (1969)- CDP602"	CDP			LIT	ESE		CDP602		CDP602					17 - Temi: Esequie			17 - Temi: Esequie;;	Assemblea
166	CG166	Quanta sete nel mio cuore	Salterio Ginevrino	G. Stefani	Salterio Ginevrino	1500		"M: Salterio Ginevrino, T: G. Stefani, 'Salterio Ginevrino'   (1500)- RN376"	RN			LIT	ORD		RN376	RN376	CDP								;;	Assemblea
167	CG167	"Resta con noi, Signore, la sera"	D. Machetta	D. Machetta		1969	LDC	"M: D. Machetta, T: D. Machetta  ed. LDC (1969)- CDP713"	CDP			LIT	ORD		CDP713		CDP713								;;	Assemblea
168	CG168	Resta accanto a me	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)-  "	Gen	Liturgico - Moderno	Canzone	LIT	ORD	FIN	 			RCB045	2006			13 - Fine			13 - Fine;;	Coro e Assemblea
169	CG169	Riempici di te	P. Spoladore					M: P. Spoladore    -  	Altri			RIP	RIP		 										;;	Assemblea
170	CG170	"Resta con noi Signore, Alleluia"	P. Damilano	A. Gazzera		1959	AISC	"M: P. Damilano, T: A. Gazzera  ed. AISC (1959)- CDP715"	CDP			LIT	ORD		CDP715		CDP715								;;	Assemblea
171	CG171	Resta qui con noi	Gen Rosso					M: Gen Rosso    -  	Gen			LIT	ORD		 										;;	Assemblea
172	CG172	Ritorna a noi Don Guanella	G. de Bonis					M: G. de Bonis    -  	M2G			LIT	SAN	GUANELLA	 										;;	Assemblea
173	CG173	Salga da questo altare	L. Picchi					M: L. Picchi    - -	CDP			LIT	ORD	OFF	-	-	CDP								;;	Assemblea
174	CG174	Santo Spirito vieni						     -  				LIT	MAR		 										;;	Assemblea
175	CG175	Salve Regina	Gregoriano					M: Gregoriano    - RN219	RN			LIT	MAR		RN219	RN219	CDP								;;	Assemblea
176	CG176	Salve Regina (Gen)	Gen Verde					M: Gen Verde    -  	Gen			LIT	MAR		 										;;	Coro e Assemblea
177	CG177	Santa Maria del cammino	J. A. Espinosa	Centro Salesiano		1971	LDC	"M: J. A. Espinosa, T: Centro Salesiano  ed. LDC (1971)- CDP593"	CDP			LIT	MAR		CDP593		CDP593								;;	Assemblea
178	CG178	Santo volto dei volti	M. Versaci			2010	Omnibus	M: M. Versaci   ed. Omnibus (2010)-  	Altri	Religioso		LIT	QUA		 										;;	Assemblea
179	CG179	Se m'accogli	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	ORD		 										;;	Assemblea
180	CG180	Se tu mi accogli	Neumark				LDC	M: Neumark   ed. LDC - RN96	RN			LIT	QUA		RN96	RN96									;;	Assemblea
181	CG181	Seme dell'eternità	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen	Liturgico - Moderno		LIT	EUC		 			RCB044				12 - Comunione			12 - Comunione;;	Coro
